City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,cuamba,-14.8,36.54,57.31,95,3,1.34,MZ,1590286555
88,garowe,8.41,48.48,82.04,56,41,16.02,SO,1590286556
89,kushima,31.46,131.23,77.0,83,75,13.87,JP,1590286557
90,kingaroy,-26.53,151.83,55.4,54,0,10.29,AU,1590286557
91,moussoro,13.64,16.49,90.75,31,78,7.58,TD,1590286557
92,kloulklubed,7.04,134.26,80.6,88,90,3.36,PW,1590286557
93,cap-aux-meules,47.38,-61.86,37.4,74,20,12.75,CA,1590286558
94,guerrero negro,27.98,-114.06,63.05,76,4,20.94,MX,1590286558
95,tyup,42.73,78.36,63.07,35,0,2.68,KG,1590286559
96,sahuaripa,29.05,-109.23,84.09,26,0,13.67,MX,1590286559
97,vardo,70.37,31.11,43.23,78,41,15.75,NO,1590286559
98,hue,16.47,107.6,87.8,70,40,3.36,VN,1590286560
99,champerico,14.3,-91.92,85.44,69,25,3.29,GT,1590286560
100,torbay,47.67,-52.73,42.01,56,90,24.16,CA,1590286560
101,soe,-9.86,124.28,70.45,95,91,6.33,ID,1590286561
102,clyde river,70.47,-68.59,24.8,100,90,10.29,CA,1590286562
103,kirakira,-10.45,161.92,85.82,70,10,6.33,SB,1590286563
104,la ronge,55.1,-105.28,48.2,66,90,11.41,CA,1590286563
105,georgetown,5.41,100.34,86.0,88,20,3.36,MY,1590286563
106,smithers,54.78,-127.17,55.4,71,90,4.7,CA,1590286455
107,rocha,-34.48,-54.33,51.89,80,53,5.23,UY,1590286564
108,portland,45.52,-122.68,61.0,44,75,5.82,US,1590286484
109,petatlan,17.52,-101.27,75.15,86,43,2.64,MX,1590286566
110,muros,42.78,-9.06,57.0,78,85,7.0,ES,1590286567
111,acajutla,13.59,-89.83,73.99,97,20,1.99,SV,1590286568
112,tiznit,29.58,-9.5,79.23,23,25,2.37,MA,1590286569
113,severo-kurilsk,50.68,156.12,43.25,66,72,5.64,RU,1590286569
114,losinyy,57.14,61.07,57.2,58,100,11.18,RU,1590286569
115,eureka,40.8,-124.16,59.0,78,50,5.99,US,1590286500
116,rabo de peixe,37.8,-25.58,64.4,100,90,5.82,PT,1590286569
117,bruck an der leitha,48.02,16.77,53.6,76,20,17.22,AT,1590286570
118,bredasdorp,-34.53,20.04,51.8,81,0,2.24,ZA,1590286570
119,lagoa,39.05,-27.98,64.63,90,100,13.4,PT,1590286571
120,markova,48.68,24.41,45.7,75,97,4.09,UA,1590286571
121,norman wells,65.28,-126.83,64.4,34,20,11.41,CA,1590286572
122,yulara,-25.24,130.99,59.0,54,0,13.87,AU,1590286572
123,prince george,53.92,-122.75,68.0,42,1,9.17,CA,1590286423
124,port macquarie,-31.43,152.92,66.2,59,75,17.22,AU,1590286561
125,noumea,-22.28,166.46,84.2,51,20,4.7,NC,1590286573
126,hasaki,35.73,140.83,79.0,64,75,9.17,JP,1590286573
127,honningsvag,70.98,25.97,43.03,78,13,20.22,NO,1590286573
128,vao,-22.67,167.48,74.82,77,32,20.71,NC,1590286573
129,north branch,45.51,-92.98,63.0,97,98,4.0,US,1590286316
130,kangasala,61.46,24.08,48.99,49,100,6.93,FI,1590286574
131,mitchell,43.71,-98.03,71.6,60,40,13.87,US,1590286574
132,zapolyarnyy,69.42,30.81,41.0,60,11,23.04,RU,1590286574
133,dvinskoy,62.15,45.12,36.97,79,22,4.03,RU,1590286574
134,laguna,38.42,-121.42,84.2,9,1,6.93,US,1590286575
135,klaksvik,62.23,-6.59,44.6,93,100,16.11,FO,1590286576
136,okha,53.57,142.95,39.13,88,100,4.68,RU,1590286576
137,rodney,42.57,-81.68,61.0,93,1,8.05,CA,1590286576
138,faya,18.39,42.45,64.4,63,11,1.88,SA,1590286576
139,charters towers,-20.1,146.27,61.38,47,0,14.2,AU,1590286576
140,manuk mangkaw,4.8,119.85,85.17,73,65,6.35,PH,1590286577
141,florence,43.77,11.25,64.4,72,75,4.7,IT,1590286465
142,namtsy,62.72,129.67,62.6,21,25,11.18,RU,1590286577
143,nome,64.5,-165.41,60.01,62,90,3.36,US,1590286387
144,hobyo,5.35,48.53,82.08,65,83,22.15,SO,1590286578
145,lokosovo,61.13,74.82,55.69,72,0,12.57,RU,1590286578
146,vestmannaeyjar,63.44,-20.27,47.5,78,1,17.45,IS,1590286578
147,trelew,-43.25,-65.31,61.77,47,0,19.89,AR,1590286559
148,vallenar,-28.57,-70.76,57.58,52,0,1.72,CL,1590286578
149,krasnyy oktyabr,56.12,38.88,39.79,97,100,4.41,RU,1590286579
150,thompson,55.74,-97.86,60.8,59,40,11.41,CA,1590286579
151,belaya gora,68.53,146.42,43.48,63,97,5.23,RU,1590286579
